pl_hostname,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-371,Transit,67.968015,0.313,,,,0.94,2014-05-14,
Kepler-93,Transit,4.72673978,0.053,0.,0.01265,,0.91,2015-04-16,
Kepler-93,Radial Velocity,1460.,,,3.,,0.91,2014-05-14,
HAT-P-1,Transit,4.46529976,0.05561,,0.525,139.,1.15,2015-09-10,
Kepler-198,Transit,49.567416,0.259,,,,0.93,2014-05-14,
Kepler-198,Transit,17.790037,0.131,,,,0.93,2014-05-14,
Kepler-198,Transit,1.31184443,,,,,0.93,2016-05-10,
Kepler-278,Transit,51.078775,0.294,,,,,2014-05-14,
Kepler-278,Transit,30.160546,0.207,,,,,2014-05-14,
Kepler-503,Transit,7.25844721,,,,888.,1.01,2016-05-10,
Kepler-146,Transit,76.732171,0.364,,,,,2014-05-14,
Kepler-146,Transit,31.158799,0.2,,,,,2014-05-14,
Kepler-21,Transit,2.785755,0.042507,0.,0.033,108.,1.34,2014-05-14,
Kepler-377,Transit,27.014976,0.182,,,,0.88,2014-05-14,
Kepler-377,Transit,12.509529,0.109,,,,0.88,2014-05-14,
Kepler-516,Transit,24.85462415,,,,777.,1.62,2016-05-10,
Kepler-1410,Transit,60.866168,,,,367.,0.63,2016-05-10,
Kepler-1464,Transit,5.32786292,,,,692.,1.02,2016-05-10,
Kepler-1464,Transit,31.7785901,,,,692.,1.02,2016-05-10,
Kepler-793,Transit,4.24153639,,,,794.,0.98,2016-05-10,
Kepler-1495,Transit,85.273256,,,,1307.,1.03,2016-05-10,
Kepler-1600,Transit,386.370548,,,,992.,0.86,2016-05-10,
Kepler-1065,Transit,2.37030743,,,,1078.,0.94,2016-05-10,
Kepler-1065,Transit,3.60930891,,,,1078.,0.94,2016-05-10,
Kepler-135,Transit,6.00253,0.067,,,,,2014-05-14,
Kepler-135,Transit,11.448708,0.103,,,,,2014-05-14,
Kepler-1272,Transit,51.1309704,,,,896.,1.06,2016-05-10,
Kepler-792,Transit,11.30119217,,,,1205.,1.09,2016-05-10,
Kepler-785,Transit,1.97376093,,,,666.,0.77,2016-05-10,
Kepler-543,Transit,13.89961966,,,,212.,0.7,2016-05-10,
Kepler-1526,Transit,3.908632,,,,576.,0.73,2016-05-10,
Kepler-790,Transit,13.73469807,,,,727.,0.84,2016-05-10,
Kepler-1552,Transit,184.771853,,,,618.,0.85,2016-05-10,
Kepler-157,Transit,1.732342,0.028,,,,,2014-05-14,
Kepler-157,Transit,13.5405,0.11,,,,,2014-05-14,
Kepler-157,Transit,7.02573474,,,,,,2016-05-10,
Kepler-493,Transit,3.00387658,,,,1942.,1.36,2016-05-10,
Kepler-1535,Transit,138.9442,,,,879.,1.08,2016-05-10,
Kepler-1183,Transit,28.5057189,,,,1378.,1.,2016-05-10,
Kepler-1164,Transit,3.97599768,,,,447.,0.85,2016-05-10,
Kepler-1406,Transit,11.62905828,,,,587.,1.05,2016-05-10,
Kepler-497,Transit,3.57320367,,,,1070.,1.09,2016-05-10,
Kepler-555,Transit,16.21775407,,,,772.,1.03,2016-05-10,
Kepler-786,Transit,53.5293487,,,,512.,0.81,2016-05-10,
Kepler-556,Transit,11.72292176,,,,729.,1.,2016-05-10,
Kepler-473,Transit,14.55731705,,,,641.,1.06,2016-05-10,
Kepler-379,Transit,20.09838,0.152,,,,1.08,2014-05-14,
Kepler-379,Transit,62.784697,0.326,,,,1.08,2014-05-14,
Kepler-789,Transit,8.63847725,,,,915.,1.01,2016-05-10,
Kepler-30,Transit,143.34394,0.5,0.022,0.073,1400.,0.99,2014-05-14,
Kepler-30,Transit,60.323105,0.3,0.0111,2.01,1400.,0.99,2014-05-14,
Kepler-30,Transit,29.33434,0.18,0.042,0.036,1400.,0.99,2014-05-14,
Kepler-1403,Transit,5.19492202,,,,1801.,1.11,2016-05-10,
HD 45350,Radial Velocity,963.6,1.92,0.778,1.79,48.95,1.02,2014-09-18,20.43
HAT-P-53,Transit,1.9616241,0.03159,0.134,1.484,719.,1.09,2015-11-19,
Kepler-794,Transit,11.13125132,,,,763.,1.19,2016-05-10,
Kepler-1553,Transit,4.24261881,,,,719.,0.85,2016-05-10,
Kepler-686,Transit,1.59474546,,,,1203.,0.94,2016-05-10,
Kepler-791,Transit,14.5539759,,,,1447.,1.3,2016-05-10,
Kepler-317,Transit,8.77501,0.083,,,,0.95,2014-05-14,
Kepler-317,Transit,5.524242,0.061,,,,0.95,2014-05-14,
Kepler-276,Transit,31.884,,,0.052,,1.1,2014-05-14,
Kepler-276,Transit,48.648,,,0.051,,1.1,2014-05-14,
Kepler-276,Transit,14.12841,0.119,,,,1.1,2014-05-14,
Kepler-1382,Transit,16.3583055,,,,730.,1.36,2016-05-10,
Kepler-544,Transit,21.41616926,,,,797.,1.16,2016-05-10,
Kepler-577,Transit,25.69578251,,,,549.,0.78,2016-05-10,
Kepler-277,Transit,33.006,,,0.202,,1.12,2014-05-14,
Kepler-277,Transit,17.324,,,0.275,,1.12,2014-05-14,
Kepler-147,Transit,33.416423,0.216,,,,1.01,2014-05-14,
Kepler-147,Transit,12.610584,0.113,,,,1.01,2014-05-14,
XO-5,Transit,4.1877558,0.0515,0.,1.19,260.,1.04,2015-02-12,
Kepler-1549,Transit,214.886545,,,,792.,0.88,2016-05-10,
Kepler-495,Transit,3.41303622,,,,630.,0.86,2016-05-10,
Kepler-58,Transit,10.2184954,,,1.39,,0.95,2014-05-14,
Kepler-58,Transit,40.101371,0.236,,,,0.95,2014-05-14,
Kepler-58,Transit,15.5741568,,,2.19,,0.95,2014-05-14,
Kepler-1053,Transit,2.41435165,,,,171.,0.74,2016-05-10,
Kepler-995,Transit,28.26731672,,,,659.,0.83,2016-05-10,
Kepler-1107,Transit,0.57103852,,,,457.,0.86,2016-05-10,
Kepler-796,Transit,6.40087618,,,,377.,0.93,2016-05-10,
Kepler-687,Transit,20.50586978,,,,628.,0.77,2016-05-10,
Kepler-817,Transit,3.99010623,,,,1401.,1.03,2016-05-10,
Kepler-819,Transit,33.1995648,,,,722.,0.86,2016-05-10,
Kepler-816,Transit,10.50682565,,,,1059.,0.9,2016-05-10,
Kepler-823,Transit,4.16809082,,,,896.,0.98,2016-05-10,
Kepler-820,Transit,127.8338098,,,,989.,1.23,2016-05-10,
Kepler-416,Transit Timing Variations,6.319,,,0.183,,1.,2014-05-28,
Kepler-416,Transit Timing Variations,12.209,,,,,1.,2014-05-28,
Kepler-1139,Transit,0.81316672,,,,555.,0.94,2016-05-10,
14 And,Radial Velocity,185.84,0.83,0.,4.8,76.39,2.2,2014-05-14,13.09
Kepler-826,Transit,4.48758907,,,,649.,1.05,2016-05-10,
Kepler-510,Transit,19.55659418,,,,378.,0.91,2016-05-10,
Kepler-1373,Transit,1.29123275,,,,1112.,1.22,2016-05-10,
Kepler-472,Transit,4.17625551,,,,302.,0.85,2016-05-10,
Kepler-597,Transit,13.02365861,,,,660.,0.97,2016-05-10,
Kepler-1405,Transit,28.2274184,,,,1605.,1.05,2016-05-10,
Kepler-1326,Transit,42.3514267,,,,910.,1.45,2016-05-10,
Kepler-235,Transit,7.824904,0.065,,,,0.59,2014-05-14,
Kepler-235,Transit,46.183669,0.213,,,,0.59,2014-05-14,
Kepler-235,Transit,20.060548,0.122,,,,0.59,2014-05-14,
Kepler-235,Transit,3.340222,0.037,,,,0.59,2014-05-14,
Kepler-442,Transit,112.3053,0.409,0.04,,342.,0.61,2015-01-06,
Kepler-1513,Transit,160.88465087,,,,384.,0.99,2016-05-10,
Kepler-1143,Transit,2.88890485,,,,632.,0.81,2016-05-10,
Kepler-1143,Transit,210.630591,,,,632.,0.81,2016-05-10,
Kepler-331,Transit,17.28111,0.105,,,,0.51,2014-05-14,
Kepler-331,Transit,8.457496,0.065,,,,0.51,2014-05-14,
Kepler-331,Transit,32.134328,0.159,,,,0.51,2014-05-14,
Kepler-688,Transit,3.89593684,,,,1247.,0.98,2016-05-10,
Kepler-183,Transit,5.687945,0.064,,,,,2014-05-14,
Kepler-183,Transit,11.637071,0.103,,,,,2014-05-14,
Kepler-1502,Transit,41.7083629,,,,1540.,1.44,2016-05-10,
Kepler-1185,Transit,104.3518976,,,,296.,0.96,2016-05-10,
Kepler-1113,Transit,42.3004954,,,,1127.,1.12,2016-05-10,
Kepler-120,Transit,6.312501,0.055,,,,,2014-05-14,
Kepler-120,Transit,12.794585,0.088,,,,,2014-05-14,
Kepler-818,Transit,10.03538581,,,,967.,0.94,2016-05-10,
Kepler-1531,Transit,1.13854338,,,,670.,1.16,2016-05-10,
Kepler-908,Transit,1.34059747,,,,250.,1.11,2016-05-10,
Kepler-821,Transit,1.92279873,,,,619.,0.84,2016-05-10,
KELT-1,Transit,1.217514,0.02466,0.0099,27.23,262.,1.32,2014-05-14,
Kepler-1469,Transit,21.8635301,,,,1255.,0.92,2016-05-10,
Kepler-1109,Transit,37.6467384,,,,797.,1.05,2016-05-10,
Kepler-825,Transit,8.1818246,,,,820.,1.03,2016-05-10,
Kepler-825,Transit,3.77360059,,,,820.,1.03,2016-05-10,
Kepler-1128,Transit,61.6178167,,,,1163.,0.94,2016-05-10,
Kepler-1608,Transit,16.4735686,,,,832.,0.75,2016-05-10,
Kepler-1304,Transit,16.1288853,,,,682.,0.85,2016-05-10,
HAT-P-15,Transit,10.863502,0.0964,0.19,1.946,190.,1.01,2014-05-14,
Kepler-25,Transit,6.2385,0.068,,12.7,,1.19,2014-05-14,
Kepler-25,Radial Velocity,123.,,,0.283,,1.19,2014-05-14,
Kepler-25,Transit,12.7204,0.11,,4.16,,1.19,2014-05-14,
Kepler-1524,Transit,70.9674603,,,,506.,1.17,2016-05-10,
Kepler-689,Transit,22.36656079,,,,1044.,0.91,2016-05-10,
Kepler-1155,Transit,33.469743,,,,987.,1.03,2016-05-10,
Kepler-1181,Transit,4.89337519,,,,867.,1.17,2016-05-10,
Kepler-1384,Transit,15.36262753,,,,618.,0.78,2016-05-10,
Kepler-624,Transit,14.58649607,,,,731.,1.1,2016-05-10,
Kepler-822,Transit,3.22296927,,,,956.,1.06,2016-05-10,
Kepler-1623,Transit,4.36128348,,,,986.,1.,2016-05-10,
Kepler-578,Transit,1.6168837,,,,568.,0.87,2016-05-10,
Kepler-288,Transit,6.097326,0.065,,,,0.89,2014-05-14,
Kepler-288,Transit,56.633742,0.287,,,,0.89,2014-05-14,
Kepler-288,Transit,19.305772,0.14,,,,0.89,2014-05-14,
Kepler-1581,Transit,6.28385491,,,,443.,1.12,2016-05-10,
Kepler-76,Orbital Brightness Modulation,1.5449298,0.0274,,2.01,,1.2,2015-10-15,
Kepler-1060,Transit,46.8779367,,,,861.,0.99,2016-05-10,
Kepler-625,Transit,4.1653651,,,,502.,1.04,2016-05-10,
Kepler-625,Transit,7.75192492,,,,502.,1.04,2016-05-10,
Kepler-1609,Transit,114.34219,,,,1483.,1.18,2016-05-10,
Kepler-121,Transit,3.177422,0.039,,,,,2014-05-14,
Kepler-121,Transit,41.008011,0.216,,,,,2014-05-14,
Kepler-350,Transit,17.849,,,0.019,,1.,2014-05-14,
Kepler-350,Transit,26.136,,,0.047,,1.,2014-05-14,
Kepler-350,Transit,11.189562,0.104,,,,1.,2014-05-14,
Kepler-626,Transit,14.48585199,,,,690.,1.01,2016-05-10,
Kepler-824,Transit,4.51436633,,,,1352.,1.15,2016-05-10,
Kepler-1500,Transit,15.0330105,,,,904.,1.,2016-05-10,
Kepler-627,Transit,40.6994443,,,,1143.,1.3,2016-05-10,
Kepler-319,Transit,4.362705,0.051,,,,1.29,2014-05-14,
Kepler-319,Transit,31.781925,0.191,,,,1.29,2014-05-14,
Kepler-319,Transit,6.941357,0.069,,,,1.29,2014-05-14,
Kepler-690,Transit,7.74809437,,,,1653.,1.11,2016-05-10,
Kepler-158,Transit,28.551383,0.158,,,,,2014-05-14,
Kepler-158,Transit,16.709184,0.111,,,,,2014-05-14,
Kepler-887,Transit,20.42228798,,,,831.,1.19,2016-05-10,
Kepler-887,Transit,7.63846023,,,,831.,1.19,2016-05-10,
Kepler-1042,Transit,10.13202575,,,,659.,0.75,2016-05-10,
Kepler-168,Transit,4.425391,0.056,,,,,2014-05-14,
Kepler-168,Transit,13.193242,0.116,,,,,2014-05-14,
Kepler-628,Transit,15.4580567,,,,579.,1.,2016-05-10,
Kepler-1154,Transit,8.45808312,,,,1531.,1.26,2016-05-10,
Kepler-1154,Transit,5.1856142,,,,1531.,1.26,2016-05-10,
Kepler-1470,Transit,16.2950903,,,,569.,0.8,2016-05-10,
Kepler-1625,Transit,287.378949,,,,1213.,0.96,2016-05-10,
Kepler-236,Transit,8.295611,0.065,,,,0.56,2014-05-14,
Kepler-236,Transit,23.968127,0.132,,,,0.56,2014-05-14,
Kepler-1551,Transit,24.4973698,,,,1560.,1.14,2016-05-10,
Kepler-621,Transit,2.62811375,,,,389.,0.72,2016-05-10,
Kepler-630,Transit,161.4743937,,,,657.,1.02,2016-05-10,
Kepler-629,Transit,7.2385854,,,,383.,0.93,2016-05-10,
Kepler-122,Transit,21.587475,0.155,,,,0.99,2014-05-14,
Kepler-122,Transit,12.465988,0.108,,,,0.99,2014-05-14,
Kepler-122,Transit Timing Variations,56.268,,,0.113,,0.99,2014-05-28,
Kepler-122,Transit,5.766193,0.064,,,,0.99,2014-05-14,
Kepler-122,Transit,37.993273,0.227,,,,0.99,2014-05-14,
Kepler-579,Transit,9.66857723,,,,663.,0.99,2016-05-10,
PH1,Transit,138.317,0.652,0.0702,0.531,1000.,1.53,2014-05-14,
Kepler-1330,Transit,10.10769068,,,,939.,0.97,2016-05-10,
Kepler-80,Transit,7.05246,0.0648,,0.0218,357.,0.73,2016-08-04,
Kepler-80,Transit,9.52355,0.0792,,0.02121,357.,0.73,2016-08-04,
Kepler-80,Transit,0.9867873,0.0175,,,357.,0.73,2016-08-04,
Kepler-80,Transit,3.07222,0.0372,,0.02124,357.,0.73,2016-08-04,
Kepler-80,Transit,4.64489,0.0491,,0.01299,357.,0.73,2016-08-04,
Kepler-1026,Transit,36.5156053,,,,389.,0.79,2016-05-10,
Kepler-1291,Transit,8.63043276,,,,982.,0.84,2016-05-10,
Kepler-328,Transit,34.921,,,0.09,,1.15,2014-05-14,
Kepler-328,Transit,71.312,,,0.124,,1.15,2014-05-14,
Kepler-691,Transit,8.114379,,,,239.,0.53,2016-05-10,
Kepler-923,Transit,6.93366476,,,,966.,1.11,2016-05-10,
Kepler-103,Transit,15.9654,,,0.031,,1.09,2014-05-14,
Kepler-103,Transit,179.612,,,0.114,,1.09,2014-05-14,
Kepler-1300,Transit,22.2419092,,,,757.,1.29,2016-05-10,
Kepler-1032,Transit,3.29011795,,,,607.,0.77,2016-05-10,
Kepler-906,Transit,41.6979976,,,,758.,1.06,2016-05-10,
Kepler-1017,Transit,7.23400469,,,,554.,0.93,2016-05-10,
Kepler-1225,Transit,7.01075434,,,,1241.,1.13,2016-05-10,
Kepler-1393,Transit,2.44357812,,,,462.,0.95,2016-05-10,
Kepler-1115,Transit,23.5540725,,,,935.,1.6,2016-05-10,
Kepler-692,Transit,21.81293494,,,,1000.,0.9,2016-05-10,
Kepler-1238,Transit,4.14787559,,,,1533.,1.3,2016-05-10,
Kepler-475,Transit,3.10550819,,,,280.,0.86,2016-05-10,
Kepler-1556,Transit,8.82713457,,,,1060.,0.97,2016-05-10,
Kepler-974,Transit,4.19449651,,,,121.,0.52,2016-05-10,
Kepler-631,Transit,17.97979059,,,,843.,1.24,2016-05-10,
Kepler-1424,Transit,29.6091744,,,,620.,1.02,2016-05-10,
Kepler-199,Transit,67.093408,0.316,,,,,2014-05-14,
Kepler-199,Transit,23.637604,0.158,,,,,2014-05-14,
Kepler-130,Transit,8.457458,0.079,,,,1.,2014-05-14,
Kepler-130,Transit,27.50868,0.178,0.,,,1.,2014-05-14,
Kepler-130,Transit,87.517905,0.377,,,,1.,2014-05-14,
Kepler-955,Transit,14.53244172,,,,637.,0.89,2016-05-10,
Kepler-109,Transit,21.2227,,,0.007,,1.04,2014-05-14,
Kepler-109,Transit,6.48163,,,0.004,,1.04,2014-05-14,
Kepler-632,Transit,30.99660733,,,,349.,0.91,2016-05-10,
Kepler-1567,Transit,153.979578,,,,1226.,0.95,2016-05-10,
Kepler-1316,Transit,87.9732136,,,,753.,1.04,2016-05-10,
Kepler-340,Transit,22.824669,0.178,,,,2.11,2014-05-14,
Kepler-340,Transit,14.844387,0.134,,,,2.11,2014-05-14,
Kepler-1324,Transit,4.11584468,,,,522.,0.78,2016-05-10,
Kepler-305,Transit,8.291,,,0.019,,0.76,2014-05-14,
Kepler-305,Transit,16.738661,0.121,,,,0.76,2014-05-14,
Kepler-305,Transit,5.487,,,0.033,,0.76,2014-05-14,
Kepler-398,Transit,11.419412,0.087,,,,,2014-05-14,
Kepler-398,Transit,4.081423,0.044,,,,,2014-05-14,
Kepler-398,Transit,6.83437001,,,,,,2016-05-10,
Kepler-891,Transit,53.44945593,,,,1372.,1.06,2016-05-10,
Kepler-693,Transit,15.37563332,,,,1002.,0.76,2016-05-10,
Kepler-1279,Transit,23.4774101,,,,1017.,1.21,2016-05-10,
Kepler-1576,Transit,6.98471973,,,,539.,1.05,2016-05-10,
Kepler-1378,Transit,11.95398936,,,,562.,0.7,2016-05-10,
Kepler-1508,Transit,20.7056504,,,,892.,1.14,2016-05-10,
Kepler-1320,Transit,0.86838653,,,,771.,0.8,2016-05-10,
KELT-3,Transit,2.7033904,0.04122,0.,1.477,178.,1.28,2014-05-14,
Kepler-904,Transit,3.02166863,,,,1151.,1.16,2016-05-10,
Kepler-924,Transit,61.0370117,,,,995.,1.14,2016-05-10,
Kepler-1451,Transit,35.622233,,,,1159.,1.,2016-05-10,
Kepler-307,Transit,13.0729,,,0.01145,,0.91,2016-04-07,
Kepler-307,Transit,10.4208,,,0.02341,,0.91,2016-04-07,
Kepler-694,Transit,6.36584161,,,,1023.,0.97,2016-05-10,
Kepler-237,Transit,4.715106,0.05,,,,0.7,2014-05-14,
Kepler-237,Transit,8.103636,0.071,,,,0.7,2014-05-14,
Kepler-1602,Transit,11.17931605,,,,815.,1.22,2016-05-10,
47 UMa,Radial Velocity,14002.,11.6,0.16,1.64,14.08,1.03,2014-05-14,71.04
47 UMa,Radial Velocity,1078.,2.1,0.032,2.53,14.08,1.03,2014-05-14,71.04
47 UMa,Radial Velocity,2391.,3.6,0.098,0.54,14.08,1.03,2014-05-14,71.04
Kepler-308,Transit,15.38231,0.123,,,,,2014-05-14,
Kepler-308,Transit,9.694928,0.09,,,,,2014-05-14,
Kepler-400,Transit,17.340824,0.134,,,,,2014-05-14,
Kepler-400,Transit,9.024389,0.087,,,,,2014-05-14,
Kepler-925,Transit,33.8678531,,,,623.,0.77,2016-05-10,
Kepler-84,Transit,12.883,,,,,1.,2014-05-14,
Kepler-84,Transit,27.434389,0.181,,,,1.,2014-05-14,
Kepler-84,Transit,44.552169,0.25,,,,1.,2014-05-14,
Kepler-84,Transit,8.726,,,,,1.,2014-05-14,
Kepler-84,Transit,4.224537,0.052,,,,1.,2014-05-14,
Kepler-150,Transit,3.428054,0.044,,,,,2014-05-14,
Kepler-150,Transit,12.56093,0.104,,,,,2014-05-14,
Kepler-150,Transit,30.826557,0.189,,,,,2014-05-14,
Kepler-150,Transit,7.381998,0.073,,,,,2014-05-14,
Kepler-96,Transit,16.2385,,,0.027,,1.,2014-05-14,
HD 23596,Radial Velocity,1561.,2.772,0.266,7.71,52.,1.16,2014-05-14,
Kepler-1276,Transit,12.5720095,,,,587.,1.14,2016-05-10,
Kepler-348,Transit,17.265427,0.138,,,,1.15,2014-05-14,
Kepler-348,Transit,7.05677,0.076,,,,1.15,2014-05-14,
Kepler-580,Transit,8.22241966,,,,333.,0.67,2016-05-10,
Kepler-964,Transit,13.5225106,,,,478.,0.93,2016-05-10,
Kepler-1240,Transit,4.8663815,,,,614.,0.98,2016-05-10,
Kepler-304,Transit,9.653471,0.08,,,,0.8,2014-05-14,
Kepler-304,Transit,3.295709,0.039,,,,0.8,2014-05-14,
Kepler-304,Transit,5.315946,0.054,,,,0.8,2014-05-14,
Kepler-304,Transit,1.49914695,,,,,0.8,2016-05-10,
Kepler-53,Transit,38.5583038,,,15.74,,0.98,2014-05-14,
Kepler-53,Transit,9.751962,0.091,,,,0.98,2014-05-14,
Kepler-53,Transit,18.6489525,,,18.41,,0.98,2014-05-14,
Kepler-425,Transit,3.79701816,0.0464,0.33,0.25,650.,0.93,2014-10-03,
Kepler-1589,Transit,0.99166527,,,,1418.,1.18,2016-05-10,
Kepler-1277,Transit,40.8365012,,,,606.,0.94,2016-05-10,
Kepler-1566,Transit,0.53991524,,,,511.,0.84,2016-05-10,
Kepler-428,Transit,3.52563254,0.0433,0.22,1.27,720.,0.87,2014-10-03,
Kepler-49,Transit,10.9129343,,,0.72,,0.55,2014-05-14,
Kepler-49,Transit,7.2037945,,,0.98,,0.55,2014-05-14,
Kepler-49,Transit,18.596108,0.116,,,,0.55,2014-05-14,
Kepler-49,Transit,2.576549,0.031,,,,0.55,2014-05-14,
Kepler-633,Transit,8.50340718,,,,634.,1.02,2016-05-10,
Kepler-1417,Transit,20.3505213,,,,656.,1.02,2016-05-10,
Kepler-306,Transit,17.326644,0.12,,,,0.82,2014-05-14,
Kepler-306,Transit,44.840975,0.227,,,,0.82,2014-05-14,
Kepler-306,Transit,7.240193,0.067,,,,0.82,2014-05-14,
Kepler-306,Transit,4.646186,0.05,,,,0.82,2014-05-14,
Kepler-238,Transit,2.090876,0.034,,,,1.06,2014-05-14,
Kepler-238,Transit,6.155557,0.069,,,,1.06,2014-05-14,
Kepler-238,Transit,50.447,,,0.042,,1.06,2014-05-14,
Kepler-238,Transit,23.654,,,0.534,,1.06,2014-05-14,
Kepler-238,Transit,13.233549,0.115,,,,1.06,2014-05-14,
Kepler-581,Transit,40.6069821,,,,833.,1.,2016-05-10,
KIC 5437945,Transit,220.1303357,,,,,1.07,2016-05-10,
KIC 5437945,Transit,440.7813,,,,,1.07,2016-01-05,
Kepler-1647,Transit,1107.5923,2.7205,0.0581,1.51968,,1.22,2016-05-19,
Kepler-239,Transit,11.763051,0.095,,,,0.74,2014-05-14,
Kepler-239,Transit,56.228098,0.268,,,,0.74,2014-05-14,
Kepler-903,Transit,62.9228557,,,,829.,0.98,2016-05-10,
Kepler-903,Transit,10.3507721,,,,829.,0.98,2016-05-10,
KOI-142,Transit Timing Variations,22.3395,0.15525,0.05628,0.626,339.,0.96,2014-05-14,
KOI-142,Transit,10.95416,,0.05593,0.027,339.,0.96,2014-05-14,
Kepler-399,Transit,14.425281,0.103,,,,,2014-05-14,
Kepler-399,Transit,58.034616,0.261,,,,,2014-05-14,
Kepler-399,Transit,26.67569,0.155,,,,,2014-05-14,
Kepler-899,Transit,19.17891293,,,,1038.,0.93,2016-05-10,
Kepler-1438,Transit,2.31942009,,,,866.,0.97,2016-05-10,
Kepler-545,Transit,13.24934059,,,,831.,1.04,2016-05-10,
Kepler-926,Transit,52.0688601,,,,771.,1.01,2016-05-10,
Kepler-634,Transit,5.16950177,,,,757.,1.03,2016-05-10,
Kepler-970,Transit,16.73652231,,,,350.,0.7,2016-05-10,
Kepler-506,Transit,6.8834055,,,,231.,1.19,2016-05-10,
Kepler-1626,Transit,4.13962966,,,,1718.,1.51,2016-05-10,
Kepler-1125,Transit,17.6700642,,,,910.,0.95,2016-05-10,
Kepler-1310,Transit,0.67933627,,,,583.,0.91,2016-05-10,
Kepler-240,Transit,7.953528,0.074,,,,,2014-05-14,
Kepler-240,Transit,4.144495,0.048,,,,,2014-05-14,
Kepler-911,Transit,20.310501,,,,567.,1.34,2016-05-10,
Kepler-1401,Transit,11.20066445,,,,1242.,1.07,2016-05-10,
Kepler-1309,Transit,28.8432647,,,,845.,0.85,2016-05-10,
Kepler-1283,Transit,12.9460978,,,,1452.,1.16,2016-05-10,
Kepler-338,Transit,13.726976,0.117,,,,1.1,2014-05-14,
Kepler-338,Transit Timing Variations,9.341,,,0.027,,1.1,2014-05-28,
Kepler-338,Transit,44.431014,0.257,,,,1.1,2014-05-14,
Kepler-338,Transit,24.310856,0.172,,,,1.1,2014-05-14,
Kepler-635,Transit,23.44971004,,,,826.,1.33,2016-05-10,
Kepler-1565,Transit,1.53818844,,,,657.,0.76,2016-05-10,
Kepler-959,Transit,14.80074836,,,,1003.,1.6,2016-05-10,
Kepler-695,Transit,3.04033042,,,,620.,0.84,2016-05-10,
Kepler-1201,Transit,15.18725932,,,,1202.,1.15,2016-05-10,
Kepler-1347,Transit,14.00947528,,,,321.,0.82,2016-05-10,
Kepler-1640,Transit,7.5844126,,,,1379.,1.27,2016-05-10,
Kepler-1195,Transit,8.49642241,,,,812.,0.74,2016-05-10,
Kepler-1211,Transit,11.01816836,,,,1486.,0.96,2016-05-10,
HD 49674,Radial Velocity,4.94737,0.058,0.087,0.105,40.73,1.06,2014-07-23,24.55
Kepler-159,Transit,10.139623,0.082,,,,,2014-05-14,
Kepler-159,Transit,43.595792,0.218,,,,,2014-05-14,
Kepler-1362,Transit,136.205626,,,,767.,0.8,2016-05-10,
Kepler-901,Transit,3.51749439,,,,241.,0.59,2016-05-10,
Kepler-1051,Transit,25.96200249,,,,1021.,1.43,2016-05-10,
Kepler-333,Transit,12.551158,0.087,,,,0.54,2014-05-14,
Kepler-333,Transit,24.08821,0.135,,,,0.54,2014-05-14,
Kepler-370,Transit,4.57953,0.054,,,,0.94,2014-05-14,
Kepler-370,Transit,19.02293,0.14,,,,0.94,2014-05-14,
Kepler-169,Transit,3.250619,0.04,,,,0.86,2014-05-14,
Kepler-169,Transit,87.090195,0.359,,,,0.86,2014-05-14,
Kepler-169,Transit,13.767102,0.105,,,,0.86,2014-05-14,
Kepler-169,Transit,8.348125,0.075,,,,0.86,2014-05-14,
Kepler-169,Transit,6.195469,0.062,,,,0.86,2014-05-14,
Kepler-622,Transit,14.28226676,,,,259.,0.64,2016-05-10,
Kepler-598,Transit,3.70175428,,,,686.,0.87,2016-05-10,
Kepler-1369,Transit,25.873148,,,,1236.,0.99,2016-05-10,
Kepler-131,Transit,25.5169,,,0.026,,1.02,2014-05-14,
Kepler-131,Transit,16.092,,,0.051,,1.02,2014-05-14,
Kepler-48,Radial Velocity,982.,,,2.067,,0.88,2014-05-14,
Kepler-48,Transit,42.8961,,,0.025,,0.88,2014-05-14,
Kepler-48,Transit,4.7779803,,,5.94,,0.88,2014-05-14,
Kepler-48,Transit,9.6739283,,,11.61,,0.88,2014-05-14,
Kepler-433,Transit,5.33408384,0.0679,0.119,2.82,1870.,1.46,2015-01-14,
Kepler-1439,Transit,8.07392849,,,,215.,0.46,2016-05-10,
Kepler-546,Transit,4.14702026,,,,896.,1.11,2016-05-10,
KOI-12,Transit,17.8552333,0.151,0.72,10.,426.,1.45,2015-05-14,
Kepler-151,Transit,15.228958,0.116,,,,0.83,2014-05-14,
Kepler-151,Transit,24.674612,0.16,,,,0.83,2014-05-14,
HAT-P-21,Transit,4.124481,0.0494,0.228,4.063,254.,0.95,2014-05-14,
Kepler-747,Transit,35.61760587,,,,855.,0.82,2016-05-10,
Kepler-1312,Transit,5.44832529,,,,305.,0.99,2016-05-10,
Kepler-1492,Transit,16.75255007,,,,371.,0.77,2016-05-10,
Kepler-1458,Transit,47.9872764,,,,642.,0.96,2016-05-10,
Kepler-1289,Transit,7.99019627,,,,1059.,1.1,2016-05-10,
Kepler-1529,Transit,5.33905686,,,,683.,0.81,2016-05-10,
HAT-P-2,Transit,5.6334729,0.06878,0.5171,9.09,135.32,1.36,2014-05-14,7.39
Kepler-582,Transit,18.49235668,,,,751.,0.93,2016-05-10,
Kepler-241,Transit,36.065978,0.189,,,,,2014-05-14,
