pl_hostname,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
WASP-64,Transit,1.5732918,0.02648,0.,1.271,350.,1.,2014-05-14,
GJ 433,Radial Velocity,7.3709,0.058,0.08,0.018,9.04,0.48,2014-05-14,110.65
HD 47536,Radial Velocity,712.13,1.93,0.2,7.32,121.36,0.91,2015-03-26,8.24
OGLE 2007-BLG-368L,Microlensing,,3.3,,0.06,5900.,0.64,2014-11-05,
WASP-15,Transit,3.7520656,0.0499,0.,0.542,,1.18,2014-05-14,
HD 114729,Radial Velocity,1114.,2.11,0.167,0.95,35.,1.,2014-05-14,28.57
HD 205739,Radial Velocity,279.8,0.896,0.27,1.37,90.33,1.22,2014-09-25,11.07
OGLE 2013-BLG-102L,Microlensing,,0.8,,12.569,3040.,0.1,2015-01-29,
HD 45364,Radial Velocity,342.85,0.8972,0.0974,0.6579,32.58,,2014-05-14,30.69
HD 45364,Radial Velocity,226.93,0.6813,0.1684,0.1872,32.58,,2014-05-14,30.69
MOA 2010-BLG-477L,Microlensing,,2.,,1.5,2300.,0.67,2014-10-29,
GJ 3341,Radial Velocity,14.207,0.089,0.31,0.0208,,0.47,2014-12-03,43.18
MOA 2011-BLG-262L,Microlensing,,0.84,,0.05663,7000.,0.12,2015-06-04,
GJ 3634,Radial Velocity,2.64561,0.0287,0.08,0.026,19.8,0.45,2014-08-21,50.55
OGLE 2008-BLG-355L,Microlensing,,1.7,,4.6,6800.,0.37,2014-06-11,
WASP-124,Transit,3.37265,0.0449,0.017,0.6,433.,1.07,2016-05-05,
OGLE 2005-BLG-169L,Microlensing,,3.5,,0.04436,4100.,0.69,2015-11-19,
MOA 2010-BLG-328L,Microlensing,,0.92,,0.02895,810.,0.11,2015-06-04,
WASP-41,Radial Velocity,421.,1.07,0.294,3.18,180.,0.93,2015-10-15,
WASP-41,Transit,3.052404,0.04,0.026,0.94,180.,0.93,2015-10-15,
WASP-79,Transit,3.6623866,0.0535,0.,0.9,240.,1.38,2014-05-14,
OGLE 2012-BLG-406L,Microlensing,,3.45,,2.73,4970.,0.44,2014-05-14,
OGLE 2005-BLG-390L,Microlensing,3285.,2.6,,0.017,6600.,0.22,2014-10-29,
MOA 2008-BLG-379L,Microlensing,,3.3,,4.1,3300.,0.56,2014-10-29,
WASP-72,Transit,2.2167421,0.03708,0.,1.5461,340.,1.39,2014-05-14,
OGLE 2006-BLG-109L,Microlensing,1788.5,2.3,,0.73,1510.,0.51,2014-11-05,
OGLE 2006-BLG-109L,Microlensing,4927.5,4.5,0.15,0.27,1510.,0.51,2014-11-05,
HD 73256,Radial Velocity,2.54858,0.037,0.029,1.87,36.52,1.05,2015-03-26,27.38
HATS-16,Transit,2.686502,0.03744,0.,3.27,774.,0.97,2016-06-23,
HD 43197,Radial Velocity,327.8,0.92,0.83,0.6,56.3,0.96,2014-12-03,17.76
OGLE-TR-10,Transit,3.101278,0.0434,,0.62,,1.14,2014-05-14,
OGLE 2013-BLG-341L B,Microlensing,,0.883,,0.0073,1161.,0.15,2014-07-09,
OGLE 2012-BLG-0724L,Microlensing,,1.6,,0.47,6700.,0.29,2016-04-28,
HD 169830,Radial Velocity,2102.,3.6,0.33,4.04,36.32,1.4,2014-06-25,27.53
HD 169830,Radial Velocity,225.62,0.81,0.31,2.88,36.32,1.4,2014-06-25,27.53
MOA-bin-1L,Microlensing,,8.3,,3.7,5100.,0.75,2014-05-14,
HD 90156,Radial Velocity,49.77,0.25,0.31,0.057,22.09,0.84,2014-05-14,45.26
Fomalhaut,Imaging,555530.,160.,0.87,,7.69,2.,2015-11-19,130.08
OGLE-TR-056,Transit,1.2119189,0.02383,,1.39,,1.23,2014-05-14,
MOA 2013-BLG-605L,Microlensing,,0.94,,0.01007,,0.03,2016-05-19,
MOA 2007-BLG-400L,Microlensing,,0.72,,0.83,5800.,0.3,2014-10-29,
MOA 2011-BLG-028L,Microlensing,,4.14,,0.09439,7380.,0.75,2016-03-24,
SWEEPS-11,Transit,1.796,0.03,,9.7,8500.,1.1,2014-05-14,
SWEEPS-4,Transit,4.2,0.055,,3.8,8500.,1.24,2014-05-14,
OGLE 2015-BLG-0966L,Microlensing,,2.1,,0.06607,2500.,0.38,2016-03-17,
OGLE 2003-BLG-235L,Microlensing,,4.3,,2.6,5800.,0.63,2016-02-25,
HD 20782,Radial Velocity,597.065,1.397,0.956,1.43,35.5,1.02,2016-05-19,
OGLE 2015-BLG-0954L,Microlensing,,1.2,,3.9,600.,0.33,2016-07-18,
HATS-26,Transit,3.3023881,0.04735,0.245,0.65,907.,1.3,2016-06-09,
HD 164604,Radial Velocity,606.4,1.3,0.24,2.7,37.98,,2014-05-14,26.33
MOA 2011-BLG-293L,Microlensing,,1.1,,4.8,7720.,0.86,2014-05-14,
HD 30669,Radial Velocity,1684.,2.69,0.18,0.47,57.1,0.92,2015-01-08,17.51
OGLE 2014-BLG-124L,Microlensing,,3.11,,0.51,4100.,0.71,2015-02-12,
HD 171238,Radial Velocity,1523.,2.54,0.4,2.6,44.05,0.94,2014-07-02,22.7
WASP-17,Transit,3.7354417,0.051,0.129,0.49,400.,1.2,2014-05-14,
K2-51,Transit,13.0106,0.1086,,,,1.01,2016-07-18,
HD 133131 A,Radial Velocity,3568.,4.49,0.49,0.42,47.,0.95,2016-09-08,
HD 133131 A,Radial Velocity,649.,1.44,0.33,1.42,47.,0.95,2016-09-08,
HD 133131 B,Radial Velocity,5769.,6.15,0.61,2.5,47.,0.93,2016-09-08,
OGLE 2012-BLG-0563L,Microlensing,,0.9,,0.39,1300.,0.34,2015-08-13,
HD 47186,Radial Velocity,4.0845,0.05,0.038,0.07167,37.84,0.99,2015-03-26,26.43
HD 47186,Radial Velocity,1353.6,2.395,0.249,0.35061,37.84,0.99,2015-03-26,26.43
WASP-25,Transit,3.764825,0.0473,0.,0.58,,1.,2014-05-14,
OGLE 2011-BLG-265L,Microlensing,,1.89,,0.88,4380.,0.21,2015-03-05,
MOA 2010-BLG-353L,Microlensing,,1.72,,0.27,6430.,0.18,2016-06-09,
MOA 2011-BLG-322L,Microlensing,,4.3,,11.6,7560.,0.39,2014-05-14,
MOA 2007-BLG-192L,Microlensing,,0.62,,0.01,1000.,0.06,2014-10-29,
OGLE 2012-BLG-26L,Microlensing,,4.8,,0.86,4019.,1.06,2016-07-07,
OGLE 2012-BLG-26L,Microlensing,,4.,,0.145,4019.,1.06,2016-07-07,
OGLE 2011-BLG-251L,Microlensing,,2.72,,0.53,2570.,0.26,2014-05-14,
HD 145377,Radial Velocity,103.95,0.45,0.307,5.76,55.19,1.12,2014-05-14,18.12
HD 192310,Radial Velocity,525.8,1.18,0.32,0.076,8.82,0.8,2015-07-02,113.33
HD 192310,Radial Velocity,74.72,0.32,0.13,0.0532,8.82,0.8,2015-07-02,113.33
MOA 2009-BLG-319L,Microlensing,,2.4,,0.16,6100.,0.38,2014-10-29,
HD 33283,Radial Velocity,18.179,0.145,0.48,0.33,86.88,1.24,2014-11-19,11.51
HD 216770,Radial Velocity,118.45,0.46,0.37,0.65,37.89,0.9,2015-04-24,26.39
PSR B1620-26,Pulsar Timing,,23.,,2.5,,1.35,2015-04-30,
