pl_hostname,ra,dec
HD 37605,85.007210,6.060579
HAT-P-42,135.344391,6.097230
CoRoT-9,280.786712,6.204172
CoRoT-22,280.667115,6.219136
K2-17,178.329775,6.412261
WASP-2,307.725542,6.429536
GJ 179,73.023865,6.476539
CoRoT-29,278.902103,6.479651
CoRoT-25,280.629662,6.513829
CoRoT-6,281.072525,6.663194
HD 171028,278.064527,6.945743
CoRoT-26,279.750514,6.969787
WASP-90,315.531971,7.056235
WASP-103,249.314868,7.183352
HD 34445,79.420746,7.353343
WASP-104,160.602432,7.435026
K2-18,172.560460,7.588391
HD 4313,11.418160,7.845021
HD 183263,292.102386,8.358054
HD 183263,292.102386,8.358054
xi Aql,298.562012,8.461452
WASP-65,133.324304,8.523038
HD 220773,351.614349,8.643845
WASP-52,348.494748,8.761262
bet Cnc,124.128838,9.185545
GJ 504,199.193817,9.424156
HD 128311,219.002335,9.746518
HD 128311,219.002335,9.746518
WASP-38,243.959845,10.032566
HD 106252,183.372955,10.041638
HAT-P-43,128.925737,10.206653
CFBDSIR J145829+101343,224.620833,10.228611
HAT-P-57,274.743421,10.597294
18 Del,314.608063,10.839286
HD 45652,97.304962,10.933891
HD 196885,309.966156,11.249649
NGC 2682 Sand 364,132.486760,11.692484
HD 170469,277.295746,11.695502
NGC 2682 YBP 1194,132.753364,11.814655
NGC 2682 YBP 1514,132.753193,11.886530
HD 152581,253.431595,11.973746
HAT-P-50,118.063411,12.139410
HD 31253,73.681892,12.352201
Ross 458,195.194092,12.375724
HD 89307,154.588699,12.621108
PSR B1257+12,195.014903,12.682353
PSR B1257+12,195.014903,12.682353
PSR B1257+12,195.014903,12.682353
NN Ser,238.233879,12.912411
NN Ser,238.233879,12.912411
HD 73534,129.815842,12.960376
HD 75784,133.099747,13.233433
HD 145934,243.291140,13.239476
70 Vir,202.107544,13.778788
HD 1502,4.821110,14.054755
HD 102272,176.598068,14.123986
HAT-P-24,108.825058,14.262599
BD+15 2375,176.482174,14.616381
BD+14 4559,318.399963,14.689387
HN Peg,326.130554,14.771939
K2-25,63.273432,15.247763
HD 285507,61.755104,15.335032
GJ 3470,119.774349,15.391492
HD 142245,238.234497,15.430708
BD+15 2940,240.095566,15.546930
HD 210702,332.963867,16.040550
2MASS J21402931+1625183 A,325.122159,16.421759
WISEP J121756.91+162640.2 A,184.487125,16.444500
HD 231701,293.017334,16.474291
alf Tau,68.980164,16.509302
HAT-P-23,306.123854,16.762152
GU Psc,18.146006,17.065475
tau Boo,206.815598,17.456905
HD 24040,57.595699,17.476366
HD 114762,198.082260,17.517122
11 Com,185.179276,17.792868
HAT-P-39,113.758247,17.830082
DP Leo,169.316667,17.961417
HAT-P-34,303.195342,18.104868
HD 88133,152.531982,18.186871
HD 131496,223.345947,18.235401
WASP-21,347.492721,18.396086
HD 219828,349.694733,18.645720
HD 195019,307.077637,18.769497
HD 209458,330.794891,18.884319
HD 285968,70.732407,18.958172
eps Tau,67.154167,19.180431
Pr0211,130.547882,19.277044
Pr0211,130.547882,19.277044
TYC 1422-614-1,154.277798,19.558472
TYC 1422-614-1,154.277798,19.558472
gam 1 Leo,154.993149,19.841488
BD+20 2457,154.186910,19.891409
BD+20 2457,154.186910,19.891409
HD 10697,26.232603,20.083149
Pr0201,130.432596,20.226891
HD 5891,15.138300,20.292484
HD 81040,140.946198,20.364454
BD+20 1790,110.931612,20.416334
HD 100655,173.765640,20.441545
HD 4203,11.171676,20.448927
HD 4203,11.171676,20.448927
HD 37124,84.260361,20.730787
HD 37124,84.260361,20.730787
HD 37124,84.260361,20.730787
51 Peg,344.366577,20.768833
BD+20 274,25.920324,21.005314
HIP 14810,47.809292,21.097359
HIP 14810,47.809292,21.097359
HIP 14810,47.809292,21.097359
HR 8799,346.869659,21.134251
HR 8799,346.869659,21.134251
HR 8799,346.869659,21.134251
HR 8799,346.869659,21.134251
