pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-243,5.715442,0.062,,,,0.89,2014-05-14,
Kepler-1444,33.42035034,,,,340.,1.03,2016-05-10,
Kepler-1365,7.69993485,,,,541.,1.,2016-05-10,
Kepler-1365,4.77468005,,,,541.,1.,2016-05-10,
HD 16175,995.4,2.148,0.637,4.77,59.84,1.34,2016-05-19,16.71
Kepler-1335,6.26406846,,,,628.,0.77,2016-05-10,
Kepler-1559,0.97191543,,,,580.,0.86,2016-05-10,
Kepler-314,2.461069,0.035,,,,1.02,2014-05-14,
Kepler-314,5.960392,0.064,,,,1.02,2014-05-14,
Kepler-196,47.427737,0.24,,,,,2014-05-14,
Kepler-196,20.739886,0.138,,,,,2014-05-14,
Kepler-1325,33.8786838,,,,955.,0.93,2016-05-10,
Kepler-945,31.0033814,,,,1543.,0.97,2016-05-10,
Kepler-1317,0.56887443,,,,734.,0.83,2016-05-10,
Kepler-707,2.23749275,,,,626.,0.8,2016-05-10,
Kepler-640,22.24813967,,,,538.,1.01,2016-05-10,
Kepler-602,15.28469497,,,,971.,1.08,2016-05-10,
Kepler-798,13.71933369,,,,1085.,1.19,2016-05-10,
Kepler-1483,9.5085156,,,,1327.,1.25,2016-05-10,
Kepler-1048,6.92101021,,,,415.,0.75,2016-05-10,
Kepler-207,3.071571,0.044,,,,,2014-05-14,
Kepler-207,5.868075,0.068,,,,,2014-05-14,
Kepler-207,1.611865,0.029,,,,,2014-05-14,
Kepler-104,51.755394,0.257,,,,0.81,2014-05-14,
Kepler-104,23.668205,0.153,,,,0.81,2014-05-14,
Kepler-104,11.427548,0.094,,,,0.81,2014-05-14,
Kepler-601,5.37886844,,,,429.,0.85,2016-05-10,
Kepler-280,4.807091,0.056,,,,0.91,2014-05-14,
Kepler-280,2.139542,0.032,,,,0.91,2014-05-14,
Kepler-1383,13.9093583,,,,961.,1.26,2016-05-10,
Kepler-279,54.414,,,0.118,,1.1,2014-05-14,
Kepler-279,12.309681,0.112,,,,1.1,2014-05-14,
Kepler-279,35.736,,,0.155,,1.1,2014-05-14,
Kepler-359,57.68802,0.307,,,,1.07,2014-05-14,
Kepler-359,25.563222,0.178,,,,1.07,2014-05-14,
Kepler-359,77.095691,0.372,,,,1.07,2014-05-14,
Kepler-1351,0.91614077,,,,241.,0.7,2016-05-10,
Kepler-708,3.16789194,,,,1241.,0.97,2016-05-10,
Kepler-1262,8.67900242,,,,1153.,0.99,2016-05-10,
Kepler-1547,0.69297968,,,,665.,1.12,2016-05-10,
Kepler-1615,47.3126192,,,,940.,1.04,2016-05-10,
Kepler-1313,3.83309118,,,,187.,0.92,2016-05-10,
Kepler-988,17.76080053,,,,248.,0.55,2016-05-10,
Kepler-930,71.4517775,,,,905.,1.25,2016-05-10,
Kepler-977,26.85328322,,,,664.,0.87,2016-05-10,
HD 197037,1035.7,2.07,0.22,0.79,32.83,,2014-05-14,30.46
Kepler-947,26.9644317,,,,1188.,0.9,2016-05-10,
Kepler-60,7.1334,,,0.01318,,1.04,2016-04-07,
Kepler-60,8.9187,,,0.01211,,1.04,2016-04-07,
Kepler-60,11.8981,,,0.01309,,1.04,2016-04-07,
Kepler-1077,34.3511874,,,,1098.,1.02,2016-05-10,
Kepler-38,105.599,0.4632,0.032,0.384,600.,0.94,2014-05-14,
Kepler-1120,2.94902905,,,,635.,0.78,2016-05-10,
Kepler-603,21.05358596,,,,967.,1.01,2016-05-10,
Kepler-603,6.2171292,,,,967.,1.01,2016-05-10,
Kepler-603,127.9075774,,,,967.,1.01,2016-05-10,
Kepler-1174,6.89225223,,,,829.,1.04,2016-05-10,
Kepler-244,9.767292,0.087,,,,,2014-05-14,
Kepler-244,20.050401,0.14,,,,,2014-05-14,
Kepler-244,4.311792,0.05,,,,,2014-05-14,
Kepler-1239,5.19104016,,,,2511.,1.4,2016-05-10,
Kepler-20,10.854092,0.093,0.4,0.051,290.,0.91,2014-05-14,
Kepler-20,77.61184,0.3453,0.6,0.063,290.,0.91,2014-05-14,
Kepler-20,6.098493,,0.28,0.01,290.,0.91,2014-05-14,
Kepler-20,3.6961219,0.04537,0.32,0.027,290.,0.91,2014-05-14,
Kepler-20,19.57706,,0.32,0.045,290.,0.91,2014-05-14,
Kepler-491,4.22538451,,,,657.,1.04,2016-05-10,
Kepler-583,6.5100253,,,,805.,0.94,2016-05-10,
Kepler-477,11.11990653,,,,367.,0.87,2016-05-10,
Kepler-1303,7.56127224,,,,905.,1.01,2016-05-10,
Kepler-374,1.897806,0.029,,,,0.84,2014-05-14,
Kepler-374,5.028219,0.056,,,,0.84,2014-05-14,
Kepler-374,3.282807,0.042,,,,0.84,2014-05-14,
Kepler-944,43.3167737,,,,1035.,0.86,2016-05-10,
Kepler-709,16.08524954,,,,668.,0.8,2016-05-10,
Kepler-397,22.250949,0.144,,,,,2014-05-14,
Kepler-397,135.498527,0.48,,,,,2014-05-14,
Kepler-1462,65.6488341,,,,1368.,1.,2016-05-10,
Kepler-293,19.254196,0.144,,,,1.01,2014-05-14,
Kepler-293,54.155743,0.286,,,,1.01,2014-05-14,
Kepler-584,35.1810304,,,,1445.,1.17,2016-05-10,
Kepler-1414,3.51576315,,,,534.,0.8,2016-05-10,
Kepler-292,7.055679,0.068,,,,0.88,2014-05-14,
Kepler-292,2.580827,0.035,,,,0.88,2014-05-14,
Kepler-292,20.834237,0.141,,,,0.88,2014-05-14,
Kepler-292,3.715335,0.045,,,,0.88,2014-05-14,
Kepler-292,11.97901,0.097,,,,0.88,2014-05-14,
Kepler-28,5.9123,0.062,,1.51,,0.75,2014-05-14,
Kepler-28,8.9858,0.081,,1.36,,0.75,2014-05-14,
Kepler-343,8.96855,0.088,,,,1.04,2014-05-14,
Kepler-343,23.22182,0.167,,,,1.04,2014-05-14,
Kepler-245,36.277108,0.202,,,,0.8,2014-05-14,
Kepler-245,3.21982106,,,,,0.8,2016-05-10,
Kepler-245,7.49019,0.071,,,,0.8,2014-05-14,
Kepler-245,17.460812,0.124,,,,0.8,2014-05-14,
Kepler-291,3.546511,0.047,,,,1.03,2014-05-14,
Kepler-291,5.700786,0.065,,,,1.03,2014-05-14,
Kepler-1301,9.08237046,,,,816.,0.85,2016-05-10,
Kepler-1380,10.3108245,,,,1209.,0.96,2016-05-10,
Kepler-1088,23.12748644,,,,300.,1.08,2016-05-10,
Kepler-8,3.5224991,0.0474,,0.59,1330.,1.21,2015-10-15,
Kepler-1105,4.42157218,,,,369.,0.71,2016-05-10,
Kepler-312,19.747412,0.153,,,,1.23,2014-05-14,
Kepler-312,1.772419,0.031,,,,1.23,2014-05-14,
HAT-P-16,2.77596,0.0413,0.036,4.193,235.,1.22,2014-05-14,
Kepler-829,6.88337562,,,,954.,0.98,2016-05-10,
HAT-P-6,3.852985,0.05235,0.,1.057,261.,1.29,2014-05-14,3.83
Kepler-828,0.56785714,,,,625.,0.81,2016-05-10,
Kepler-1340,0.66502692,,,,1421.,1.27,2016-05-10,
Kepler-61,59.87756,,0.25,,,0.64,2014-05-14,
Kepler-1134,17.13263989,,,,997.,0.84,2016-05-10,
Kepler-1597,2.94654179,,,,1255.,1.25,2016-05-10,
Kepler-1204,85.7350285,,,,1282.,1.03,2016-05-10,
Kepler-641,9.48961571,,,,673.,1.02,2016-05-10,
Kepler-208,4.22864,0.054,,,,1.03,2014-05-14,
Kepler-208,11.131786,0.103,,,,1.03,2014-05-14,
Kepler-208,16.259458,0.132,,,,1.03,2014-05-14,
Kepler-208,7.466623,0.079,,,,1.03,2014-05-14,
Kepler-1603,2.27163926,,,,1751.,1.21,2016-05-10,
Kepler-1006,19.76172042,,,,496.,0.78,2016-05-10,
Kepler-492,11.72012266,,,,642.,0.94,2016-05-10,
Kepler-1376,5.30880656,,,,864.,0.98,2016-05-10,
Kepler-505,27.52197994,,,,222.,0.55,2016-05-10,
Kepler-1236,31.0571618,,,,1078.,0.86,2016-05-10,
Kepler-1260,19.1187753,,,,1041.,1.06,2016-05-10,
Kepler-1021,13.47469571,,,,837.,0.89,2016-05-10,
Kepler-1353,24.7543966,,,,596.,0.76,2016-05-10,
Kepler-1197,2.03231845,,,,505.,0.78,2016-05-10,
Kepler-1097,187.747029,,,,738.,0.82,2016-05-10,
Kepler-136,16.399235,0.133,,,,1.2,2014-05-14,
Kepler-136,11.5789,0.106,,,,1.2,2014-05-14,
Kepler-46,6.766589,0.067,,,855.,0.9,2014-05-14,
Kepler-46,57.011,0.2799,0.0146,0.376,855.,0.9,2014-05-14,
Kepler-46,33.60134,0.1968,0.01,6.,855.,0.9,2014-05-14,
Kepler-1231,10.41725184,,,,948.,1.01,2016-05-10,
Kepler-1490,92.4362973,,,,968.,0.9,2016-05-10,
Kepler-642,4.41745855,,,,1022.,1.4,2016-05-10,
Kepler-604,25.85501786,,,,981.,1.02,2016-05-10,
Kepler-1386,6.73972381,,,,838.,1.02,2016-05-10,
Kepler-209,41.749882,0.231,,,,,2014-05-14,
Kepler-209,16.087845,0.122,,,,,2014-05-14,
Kepler-558,29.00790538,,,,652.,0.85,2016-05-10,
Kepler-1542,3.95116882,,,,336.,0.94,2016-05-10,
Kepler-1542,2.89223021,,,,336.,0.94,2016-05-10,
Kepler-1542,5.99273738,,,,336.,0.94,2016-05-10,
Kepler-1542,5.10115756,,,,336.,0.94,2016-05-10,
Kepler-1607,13.6473676,,,,735.,1.14,2016-05-10,
Kepler-351,37.054919,0.214,,,,0.89,2014-05-14,
Kepler-351,142.544247,,,,,0.89,2016-05-10,
Kepler-351,57.24809,0.287,,,,0.89,2014-05-14,
Kepler-119,2.422082,0.035,,,,,2014-05-14,
Kepler-119,4.125103,0.049,,,,,2014-05-14,
Kepler-246,4.60182,0.052,,,,0.86,2014-05-14,
Kepler-246,11.187161,0.095,,,,0.86,2014-05-14,
Kepler-1009,11.35011917,,,,281.,0.59,2016-05-10,
Kepler-290,36.77031,0.205,,,,,2014-05-14,
Kepler-290,14.589347,0.11,,,,,2014-05-14,
Kepler-1477,11.55530021,,,,525.,0.81,2016-05-10,
Kepler-710,4.34728553,,,,919.,0.94,2016-05-10,
Kepler-827,51.92927591,,,,1352.,0.93,2016-05-10,
Kepler-1127,5.12330347,,,,996.,0.97,2016-05-10,
Kepler-1255,36.2919336,,,,1344.,1.08,2016-05-10,
Kepler-831,5.62153941,,,,577.,0.99,2016-05-10,
Kepler-1266,28.474748,,,,901.,0.8,2016-05-10,
Kepler-910,2.36436901,,,,402.,1.26,2016-05-10,
HIP 57050,41.397,0.163506,0.314,0.298,11.03,,2014-05-14,90.66
Kepler-830,11.29695137,,,,1122.,1.07,2016-05-10,
Kepler-931,8.03755877,,,,490.,0.86,2016-05-10,
Kepler-144,10.104665,0.094,,,,1.03,2014-05-14,
Kepler-144,5.885273,0.066,,,,1.03,2014-05-14,
Kepler-1420,6.69960006,,,,923.,0.82,2016-05-10,
Kepler-417,15.943,,,,,0.9,2014-05-28,
Kepler-417,12.331,,,0.035,,0.9,2014-05-28,
Kepler-123,17.232366,0.135,,,,1.03,2014-05-14,
Kepler-123,26.695074,0.181,,,,1.03,2014-05-14,
Kepler-743,3.17926292,,,,258.,0.94,2016-05-10,
Kepler-1503,96.16987,,,,850.,0.77,2016-05-10,
Kepler-355,11.03189,0.102,,,,1.05,2014-05-14,
Kepler-355,25.762294,0.179,,,,1.05,2014-05-14,
Kepler-1027,1.9078052,,,,291.,0.91,2016-05-10,
Kepler-81,20.837846,0.128,,,,0.64,2014-05-14,
Kepler-81,12.04,,,,,0.64,2014-05-14,
Kepler-81,5.955,,,,,0.64,2014-05-14,
Kepler-1278,3.23941344,,,,743.,1.11,2016-05-10,
Kepler-711,23.58914398,,,,664.,0.84,2016-05-10,
Kepler-1133,11.55562343,,,,821.,0.93,2016-05-10,
Kepler-160,13.699087,0.109,,,,,2014-05-14,
Kepler-160,4.309427,0.05,,,,,2014-05-14,
Kepler-1243,16.8320729,,,,877.,0.96,2016-05-10,
Kepler-1035,2.71407755,,,,408.,0.98,2016-05-10,
Kepler-289,125.8518,0.51,,0.42,700.,1.08,2014-11-19,
Kepler-289,66.0634,0.33,,0.013,700.,1.08,2014-11-19,
Kepler-289,34.545,0.21,,0.023,700.,1.08,2014-11-19,
Kepler-986,56.4349938,,,,563.,0.96,2016-05-10,
Kepler-643,16.33889626,,,,1029.,1.,2016-05-10,
Kepler-1646,4.48558383,,,,81.,0.24,2016-05-10,
Kepler-434,12.8747099,0.1143,0.131,2.86,1240.,1.2,2015-01-14,
Kepler-712,21.02247699,,,,944.,0.84,2016-05-10,
Kepler-712,226.89047,,,,944.,0.84,2016-05-10,
Kepler-1411,86.1150888,,,,1431.,0.95,2016-05-10,
Kepler-82,26.444,,,,,0.85,2014-05-14,
Kepler-82,51.538,,,,,0.85,2014-05-14,
Kepler-82,5.902206,0.063,,,,0.85,2014-05-14,
Kepler-82,2.382961,0.034,,,,0.85,2014-05-14,
Kepler-1220,7.42693741,,,,958.,1.,2016-05-10,
Kepler-508,25.30889748,,,,325.,1.16,2016-05-10,
Kepler-1358,7.06317341,,,,558.,0.82,2016-05-10,
Kepler-1595,4.56380468,,,,841.,0.84,2016-05-10,
Kepler-1425,14.4541302,,,,499.,0.97,2016-05-10,
Kepler-874,40.0686727,,,,1072.,1.09,2016-05-10,
Kepler-713,7.411141,,,,1003.,0.98,2016-05-10,
Kepler-137,18.735753,0.13,,,,,2014-05-14,
Kepler-137,8.436387,0.077,,,,,2014-05-14,
Kepler-247,3.33616,0.042,,,,,2014-05-14,
Kepler-247,9.439452,0.084,,,,,2014-05-14,
Kepler-247,20.477912,0.14,,,,,2014-05-14,
Kepler-978,49.6221509,,,,624.,1.07,2016-05-10,
Kepler-1145,3.97076766,,,,714.,0.79,2016-05-10,
Kepler-1078,3.00725242,,,,1215.,0.94,2016-05-10,
Kepler-54,12.0717249,,,0.37,,0.51,2014-05-14,
Kepler-54,20.995694,0.126,,,,0.51,2014-05-14,
Kepler-54,8.0109434,,,0.92,,0.51,2014-05-14,
Kepler-1606,196.435224,,,,880.,0.9,2016-05-10,
Kepler-1002,4.33642933,,,,425.,1.22,2016-05-10,
Kepler-184,20.303005,0.141,,,,,2014-05-14,
Kepler-184,10.687576,0.092,,,,,2014-05-14,
Kepler-184,29.022358,0.179,,,,,2014-05-14,
Kepler-210,7.972513,0.07,,,,,2014-05-14,
Kepler-210,2.453234,0.032,,,,,2014-05-14,
Kepler-161,4.921355,0.054,,,,0.77,2014-05-14,
Kepler-161,7.06424,0.068,,,,0.77,2014-05-14,
Kepler-866,2.61703254,,,,690.,0.75,2016-05-10,
Kepler-1441,39.4419839,,,,751.,1.,2016-05-10,
Kepler-854,2.14463285,,,,741.,1.17,2016-05-10,
Kepler-212,16.257582,0.133,,,,1.16,2014-05-14,
Kepler-212,31.805174,0.207,,,,1.16,2014-05-14,
Kepler-875,27.5073799,,,,1244.,1.06,2016-05-10,
Kepler-1188,17.1369543,,,,1202.,1.04,2016-05-10,
Kepler-1268,40.9903986,,,,1406.,1.06,2016-05-10,
Kepler-1180,16.8601286,,,,1284.,1.09,2016-05-10,
Kepler-1494,91.080482,,,,1059.,0.96,2016-05-10,
Kepler-211,4.138575,0.048,,,,0.97,2014-05-14,
Kepler-211,6.04045,0.062,,,,0.97,2014-05-14,
Kepler-1511,23.2382792,,,,897.,1.17,2016-05-10,
Kepler-1517,5.54608367,,,,869.,1.58,2016-05-10,
Kepler-859,20.38177573,,,,915.,0.81,2016-05-10,
Kepler-435,8.6001536,0.0948,0.114,0.84,2070.,1.54,2015-01-14,
Kepler-1461,29.3494775,,,,752.,0.79,2016-05-10,
Kepler-1387,2.27952666,,,,491.,0.82,2016-05-10,
Kepler-112,28.574263,0.172,,,,,2014-05-14,
Kepler-112,8.408878,0.076,,,,,2014-05-14,
Kepler-1560,3.03195744,,,,529.,1.02,2016-05-10,
Kepler-431,6.803,0.0719,,,,1.07,2014-11-19,
Kepler-431,8.703,0.0847,,,,1.07,2014-11-19,
Kepler-431,11.922,0.1045,,,,1.07,2014-11-19,
Kepler-1098,2.54307286,,,,876.,0.99,2016-05-10,
Kepler-1356,0.63400294,,,,881.,0.82,2016-05-10,
Kepler-863,15.59461874,,,,1145.,0.96,2016-05-10,
Kepler-1245,2.93658468,,,,861.,0.86,2016-05-10,
Kepler-1245,4.35409304,,,,861.,0.86,2016-05-10,
Kepler-932,1.9214374,,,,478.,0.87,2016-05-10,
Kepler-714,8.09888799,,,,1460.,1.09,2016-05-10,
Kepler-1584,13.3997099,,,,1325.,1.1,2016-05-10,
Kepler-605,3.38353807,,,,570.,0.91,2016-05-10,
Kepler-605,2.35895152,,,,570.,0.91,2016-05-10,
Kepler-138,10.3126,,,0.00021,,0.52,2015-06-17,
Kepler-138,13.7813,,,0.0062,,0.52,2015-06-17,
Kepler-138,23.0881,,,0.00201,,0.52,2015-06-17,
Kepler-1005,6.49801525,,,,515.,1.,2016-05-10,
Kepler-882,3.98953967,,,,525.,0.9,2016-05-10,
Kepler-717,4.40840023,,,,1126.,0.88,2016-05-10,
Kepler-402,8.921099,0.087,,,,,2014-05-14,
Kepler-402,11.242861,0.102,,,,,2014-05-14,
Kepler-402,6.124821,0.068,,,,,2014-05-14,
Kepler-402,4.028751,0.051,,,,,2014-05-14,
Kepler-315,265.469335,0.791,,,,0.78,2014-05-14,
Kepler-315,96.101141,0.402,,,,0.78,2014-05-14,
Kepler-716,10.37168453,,,,675.,0.83,2016-05-10,
Kepler-1160,7.97034958,,,,1293.,0.92,2016-05-10,
Kepler-392,5.341853,0.059,,,,1.13,2014-05-14,
Kepler-392,10.423118,0.093,,,,1.13,2014-05-14,
Kepler-871,22.0459018,,,,1695.,1.11,2016-05-10,
Kepler-1430,2.46050993,,,,541.,0.77,2016-05-10,
Kepler-715,10.00652995,,,,1214.,1.04,2016-05-10,
Kepler-876,5.14438011,,,,735.,0.81,2016-05-10,
Kepler-857,85.35129427,,,,1039.,0.99,2016-05-10,
Kepler-1375,3.3004192,,,,1238.,1.47,2016-05-10,
Kepler-1628,76.378033,,,,352.,0.55,2016-05-10,
Kepler-1613,1.5184299,,,,855.,1.08,2016-05-10,
Kepler-972,7.03932553,,,,1304.,1.15,2016-05-10,
Kepler-1015,16.00494214,,,,932.,1.49,2016-05-10,
Kepler-1342,2.21571036,,,,941.,0.93,2016-05-10,
Kepler-1267,13.0313945,,,,1628.,1.15,2016-05-10,
Kepler-341,5.195528,0.06,,,,0.94,2014-05-14,
Kepler-341,8.01041,0.08,,,,0.94,2014-05-14,
Kepler-341,27.666313,0.182,,,,0.94,2014-05-14,
Kepler-341,42.473269,0.242,,,,0.94,2014-05-14,
Kepler-644,3.1739171,,,,1413.,1.49,2016-05-10,
HAT-P-12,3.2130598,0.0384,0.,0.211,142.5,0.73,2014-05-14,
Kepler-471,5.01423457,,,,1373.,1.49,2016-05-10,
Kepler-718,2.0523499,,,,1520.,1.18,2016-05-10,
Kepler-1579,0.84990789,,,,466.,0.75,2016-05-10,
Kepler-1157,4.45743164,,,,346.,0.76,2016-05-10,
Kepler-865,14.16399294,,,,664.,0.93,2016-05-10,
Kepler-116,5.968734,0.069,,,,1.16,2014-05-14,
Kepler-116,13.07163,0.116,,,,1.16,2014-05-14,
Kepler-855,7.8866311,,,,1043.,1.03,2016-05-10,
Kepler-933,14.20443009,,,,922.,0.87,2016-05-10,
Kepler-1561,1.00520701,,,,993.,1.07,2016-05-10,
Kepler-248,16.239494,0.123,,,,,2014-05-14,
Kepler-248,6.308205,0.066,,,,,2014-05-14,
Kepler-886,6.24146367,,,,857.,1.1,2016-05-10,
Kepler-872,2.57885507,,,,1114.,1.05,2016-05-10,
Kepler-302,127.282184,0.503,,,,,2014-05-14,
Kepler-302,30.184104,0.193,,,,,2014-05-14,
Kepler-961,16.87727414,,,,607.,0.96,2016-05-10,
Kepler-1642,6.6513802,,,,447.,0.88,2016-05-10,
Kepler-1642,12.2057513,,,,447.,0.88,2016-05-10,
Kepler-303,7.061149,0.057,,,,0.59,2014-05-14,
Kepler-303,1.937055,0.024,,,,0.59,2014-05-14,
Kepler-249,3.306539,0.035,,,,,2014-05-14,
Kepler-249,15.368459,0.097,,,,,2014-05-14,
Kepler-249,7.113702,0.058,,,,,2014-05-14,
Kepler-83,5.169796,0.051,,,,0.66,2014-05-14,
Kepler-83,9.77,,,,,0.66,2014-05-14,
Kepler-83,20.09,,,,,0.66,2014-05-14,
Kepler-1091,1.43474156,,,,915.,1.01,2016-05-10,
Kepler-880,7.71468975,,,,673.,1.46,2016-05-10,
Kepler-412,1.7208604,0.02897,,0.941,1056.,1.17,2015-10-15,
Kepler-427,10.290994,0.091,0.57,0.29,1100.,0.96,2014-10-03,
Kepler-1630,509.997402,,,,278.,0.66,2016-05-10,
Kepler-162,19.446355,0.137,,,,,2014-05-14,
Kepler-162,6.919798,0.069,,,,,2014-05-14,
Kepler-896,144.547396,,,,896.,0.84,2016-05-10,
Kepler-934,55.6738309,,,,603.,0.81,2016-05-10,
Kepler-890,52.75875577,,,,1387.,1.09,2016-05-10,
HD 13931,4218.,5.15,0.02,1.88,45.52,1.02,2014-05-14,21.97
Kepler-1629,3.87595807,,,,390.,1.01,2016-05-10,
Kepler-1170,9.98969327,,,,911.,0.8,2016-05-10,
Kepler-559,17.58752333,,,,793.,0.96,2016-05-10,
Kepler-1631,4.09513932,,,,1190.,0.97,2016-05-10,
Kepler-462,84.6879808,,,,733.,1.59,2016-05-10,
HD 95127,482.,1.28,0.11,5.01,332.,1.2,2015-02-05,3.06
14 Her,1773.4,2.77,0.369,4.64,18.15,0.9,2014-05-14,55.11
Kepler-1182,11.17394617,,,,1258.,1.04,2016-05-10,
Kepler-1456,18.1373829,,,,379.,0.64,2016-05-10,
Kepler-1311,2.53573424,,,,705.,1.05,2016-05-10,
Kepler-1311,11.1726994,,,,705.,1.05,2016-05-10,
Kepler-1537,1.4444538,,,,503.,0.81,2016-05-10,
Kepler-381,5.629021,0.066,,,,1.34,2014-05-14,
Kepler-381,13.391635,0.117,,,,1.34,2014-05-14,
Kepler-174,13.98179,0.1,,,,,2014-05-14,
Kepler-174,247.35373,0.677,,,,,2014-05-14,
Kepler-174,44.000529,0.214,,,,,2014-05-14,
Kepler-1286,11.25402929,,,,1150.,1.,2016-05-10,
Kepler-1621,92.263714,,,,1461.,1.15,2016-05-10,
Kepler-500,8.5083244,,,,747.,1.02,2016-05-10,
Kepler-176,25.751974,0.163,,,,,2014-05-14,
Kepler-176,5.433074,0.058,,,,,2014-05-14,
Kepler-176,51.16579,,,,,,2016-05-10,
Kepler-176,12.759712,0.102,,,,,2014-05-14,
Kepler-1290,4.69500134,,,,1321.,0.95,2016-05-10,
Kepler-502,4.28686431,,,,1433.,1.15,2016-05-10,
Kepler-1534,5.71668872,,,,1107.,0.9,2016-05-10,
Kepler-585,2.75235975,,,,604.,0.96,2016-05-10,
Kepler-175,34.035257,0.213,,,,1.04,2014-05-14,
Kepler-175,11.903515,0.105,,,,1.04,2014-05-14,
Kepler-474,5.66067294,,,,568.,0.99,2016-05-10,
Kepler-719,5.00731778,,,,1427.,0.99,2016-05-10,
Kepler-892,13.7521072,,,,640.,0.75,2016-05-10,
Kepler-139,157.072878,0.586,,,,1.08,2014-05-14,
Kepler-139,15.771044,0.127,,,,1.08,2014-05-14,
Kepler-185,1.6329,0.026,,,,0.79,2014-05-14,
Kepler-185,20.729042,0.139,,,,0.79,2014-05-14,
Kepler-1416,1.49514952,,,,807.,1.09,2016-05-10,
Kepler-1192,25.2034787,,,,1108.,0.86,2016-05-10,
Kepler-749,17.31716585,,,,753.,0.79,2016-05-10,
Kepler-1196,66.1849031,,,,946.,0.98,2016-05-10,
Kepler-893,6.33855761,,,,1216.,1.,2016-05-10,
Kepler-1632,448.303558,,,,584.,1.12,2016-05-10,
Kepler-1332,11.87456832,,,,515.,0.95,2016-05-10,
Kepler-1445,10.60052251,,,,482.,1.13,2016-05-10,
Kepler-499,5.63252845,,,,523.,0.87,2016-05-10,
Kepler-1292,3.27646405,,,,1406.,0.95,2016-05-10,
Kepler-1235,4.16055856,,,,533.,0.93,2016-05-10,
Kepler-186,22.407704,0.11,,,172.,0.54,2014-05-14,
Kepler-186,129.9441,0.432,0.04,,172.,0.54,2015-01-14,
Kepler-186,7.267302,0.0451,,,172.,0.54,2014-05-14,
Kepler-186,13.342996,0.0781,,,172.,0.54,2014-05-14,
Kepler-186,3.8867907,0.0343,,,172.,0.54,2014-05-14,
Kepler-1025,37.3229493,,,,716.,1.09,2016-05-10,
Kepler-476,14.00640607,,,,687.,1.03,2016-05-10,
HD 99706,868.,2.14,0.365,1.4,130.89,1.72,2014-05-14,7.64
Kepler-128,22.804,,,0.105,,1.18,2014-05-14,
Kepler-128,15.09,,,0.097,,1.18,2014-05-14,
Kepler-1476,10.35863224,,,,1218.,0.98,2016-05-10,
Kepler-521,22.20813214,,,,737.,1.34,2016-05-10,
Kepler-750,9.42887179,,,,1181.,1.15,2016-05-10,
Kepler-750,4.08899022,,,,1181.,1.15,2016-05-10,
Kepler-357,49.499875,0.246,,,,0.78,2014-05-14,
Kepler-357,6.475434,0.063,,,,0.78,2014-05-14,
Kepler-357,16.85837,0.12,,,,0.78,2014-05-14,
Kepler-1460,29.9633247,,,,574.,0.7,2016-05-10,
GJ 15 A,11.4433,0.0717,0.,0.017,3.57,0.38,2014-09-18,280.27
Kepler-55,27.9481449,,,1.49,,0.62,2014-05-14,
Kepler-55,10.198545,0.081,,,,0.62,2014-05-14,
Kepler-55,4.617534,0.048,,,,0.62,2014-05-14,
Kepler-55,42.1516418,,,1.11,,0.62,2014-05-14,
Kepler-55,2.211099,0.029,,,,0.62,2014-05-14,
Kepler-437,66.65062,0.288,0.02,,417.,0.71,2015-01-06,
Kepler-946,11.79162572,,,,918.,0.94,2016-05-10,
Kepler-439,178.1396,0.563,0.03,,693.,0.88,2015-01-06,
Kepler-5,3.5484657,0.0538,,2.111,,1.37,2015-10-15,
Kepler-645,3.27582262,,,,901.,1.13,2016-05-10,
HD 132563,1544.,2.62,0.22,1.49,98.52,,2014-05-14,10.15
Kepler-985,116.331901,,,,741.,0.91,2016-05-10,
Kepler-1106,1.25275217,,,,1168.,1.11,2016-05-10,
Kepler-522,38.58422849,,,,749.,1.54,2016-05-10,
Kepler-751,17.44490636,,,,748.,0.87,2016-05-10,
Kepler-1142,18.3027248,,,,697.,0.97,2016-05-10,
Kepler-1100,6.42200058,,,,940.,1.21,2016-05-10,
Kepler-327,13.969457,0.09,,,,0.55,2014-05-14,
Kepler-327,5.212333,0.047,,,,0.55,2014-05-14,
Kepler-327,2.549575,0.029,,,,0.55,2014-05-14,
Kepler-187,10.640263,0.099,,,,0.85,2014-05-14,
Kepler-187,4.938864,0.059,,,,0.85,2014-05-14,
Kepler-251,99.640161,0.404,,,,0.91,2014-05-14,
Kepler-251,4.790936,0.053,,,,0.91,2014-05-14,
Kepler-251,16.514043,0.122,,,,0.91,2014-05-14,
Kepler-251,30.133001,0.182,,,,0.91,2014-05-14,
Kepler-1152,1.64680191,,,,184.,0.55,2016-05-10,
Kepler-1014,16.57110363,,,,672.,0.88,2016-05-10,
Kepler-1116,41.6977827,,,,1017.,0.95,2016-05-10,
Kepler-91,6.24658,0.0731,,0.81,1030.,1.31,2015-10-15,
Kepler-1200,1.11854972,,,,579.,0.74,2016-05-10,
Kepler-1038,148.4603382,,,,622.,0.87,2016-05-10,
Kepler-250,4.148141,0.048,,,,0.8,2014-05-14,
Kepler-250,7.156804,0.069,,,,0.8,2014-05-14,
Kepler-250,17.648312,0.127,,,,0.8,2014-05-14,
Kepler-761,10.12804789,,,,867.,0.95,2016-05-10,
